iter	Passed	Remaining
0	4	429
1	7	369
2	10	354
3	13	325
4	16	316
5	19	311
6	23	306
7	27	311
8	31	314
9	34	309
10	36	297
11	39	291
12	41	279
13	43	266
14	44	253
15	46	242
16	47	232
17	48	222
18	50	213
19	51	204
20	52	197
21	53	191
22	54	183
23	55	177
24	56	170
25	57	164
26	58	158
27	59	153
28	60	148
29	61	143
30	62	138
31	63	134
32	64	130
33	65	126
34	66	122
35	67	119
36	67	115
37	68	112
38	69	109
39	70	106
40	71	102
41	71	99
42	72	96
43	73	93
44	74	91
45	75	88
46	76	86
47	77	83
48	78	81
49	79	79
50	79	76
51	80	74
52	82	72
53	82	70
54	83	68
55	84	66
56	85	64
57	86	62
58	87	60
59	87	58
60	88	56
61	89	55
62	90	53
63	91	51
64	92	49
65	93	48
66	94	46
67	95	44
68	96	43
69	97	41
70	99	40
71	100	38
72	101	37
73	102	35
74	103	34
75	103	32
76	104	31
77	105	29
78	106	28
79	107	26
80	108	25
81	109	24
82	110	22
83	111	21
84	112	19
85	114	18
86	115	17
87	116	15
88	116	14
89	117	13
90	118	11
91	119	10
92	120	9
93	121	7
94	122	6
95	123	5
96	124	3
97	124	2
98	126	1
99	127	0
